# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
6.600000000000005e-07	0.0011831323	-0.0049484153	-0.7926434	0	0	-0.125
6.700000000000005e-07	0.0024599151	0.0025577229	-0.79772204	0	0	-0.1300001
6.800000000000005e-07	0.0012903862	0.0016542779	-0.80715597	0	0	-0.1350001
6.900000000000005e-07	0.0029493093	0.00091580825	-0.8060045	0	0	-0.13999996
7.000000000000005e-07	-0.0013198496	-0.0011102691	-0.80669445	0	0	-0.145
7.100000000000005e-07	-0.0010501731	-0.002015374	-0.80826664	0	0	-0.15000005
7.200000000000005e-07	-0.00020603824	-0.0021399981	-0.80901855	0	0	-0.15500008
7.300000000000005e-07	0.001650053	-0.0006865343	-0.80936116	0	0	-0.15999994
7.400000000000005e-07	-0.0015083272	-0.00015424461	-0.81025726	0	0	-0.16499998
7.500000000000005e-07	-0.0010108755	-0.00088796474	-0.8116086	0	0	-0.17000006
7.600000000000006e-07	0.0007174024	-0.0018938525	-0.8119974	0	0	-0.17500007
7.700000000000006e-07	7.7537225e-05	-0.00045997804	-0.81157434	0	0	-0.18000002
7.800000000000006e-07	-0.0025037115	-0.0011932652	-0.8136912	0	0	-0.18500006
7.900000000000006e-07	-0.0016138939	-0.0020096737	-0.81377953	0	0	-0.18999994
8.000000000000006e-07	0.00012377856	0.0020595815	-0.8141208	0	0	-0.19499996
8.100000000000006e-07	0.001793261	0.0014027823	-0.81362784	0	0	-0.19999991
8.200000000000006e-07	0.002267835	0.004128386	-0.8146468	0	0	-0.19999991
8.300000000000006e-07	-0.0016473002	0.0016573843	-0.81414753	0	0	-0.19499996
8.400000000000006e-07	-0.0027170463	0.00066506665	-0.81410104	0	0	-0.18999994
8.500000000000006e-07	-0.00085752766	-0.0014093324	-0.8138961	0	0	-0.18500006
8.600000000000007e-07	-0.0030143	0.00069891766	-0.8118318	0	0	-0.18000002
8.700000000000007e-07	-0.0010754607	-0.0031248664	-0.81106573	0	0	-0.17500007
8.800000000000007e-07	0.0017574384	-0.004763211	-0.81231624	0	0	-0.17000006
8.900000000000007e-07	0.0024727422	0.0013538686	-0.8108319	0	0	-0.16499998
9.000000000000007e-07	-0.0010557593	-0.0013818155	-0.8096508	0	0	-0.15999994
9.100000000000007e-07	0.0029644	0.0008683525	-0.81045777	0	0	-0.15500008
9.200000000000007e-07	-0.0008671639	-0.0013324606	-0.8079518	0	0	-0.15000005
9.300000000000007e-07	0.0021970076	-0.007079624	-0.8075701	0	0	-0.145
9.400000000000007e-07	-0.003978512	-0.0011133434	-0.8073826	0	0	-0.13999996
9.500000000000008e-07	-0.0034523963	0.001053986	-0.8067974	0	0	-0.1350001
9.600000000000008e-07	0.0019118531	-0.00017148828	-0.80502826	0	0	-0.1300001
9.700000000000007e-07	0.004124752	-0.0009711291	-0.80543673	0	0	-0.125
9.800000000000006e-07	-0.0011688777	-0.001360926	-0.80355054	0	0	-0.1199999
9.900000000000005e-07	0.0037871473	-0.0045227758	-0.8030943	0	0	-0.11499991
1.0000000000000004e-06	-0.00059764675	0.0008390857	-0.8030012	0	0	-0.11000001
1.0100000000000003e-06	0.0010881901	0.0028857675	-0.80116284	0	0	-0.10500001
1.0200000000000002e-06	-0.0041589043	-1.7850592e-05	-0.80007297	0	0	-0.09999996
1.03e-06	-0.0008800858	-7.59622e-05	-0.798724	0	0	-0.09499997
1.04e-06	0.0010537178	0.0023554699	-0.79852307	0	0	-0.09000001
1.05e-06	-0.00040985344	0.00020852212	-0.79746246	0	0	-0.08500003
1.0599999999999998e-06	-0.0036779842	0.00088880945	-0.7942379	0	0	-0.07999997
1.0699999999999997e-06	-0.0017238919	-0.0008750382	-0.79004824	0	0	-0.075000025
1.0799999999999996e-06	-0.0061405166	0.0012087546	-0.76224244	0	0	-0.06999998
1.0899999999999995e-06	-0.0021767754	-0.0016907576	-0.36544868	0	0	-0.06500005
1.0999999999999994e-06	-0.0022313767	0.0010434545	-0.32707188	0	0	-0.05999995
1.1099999999999993e-06	0.00042489465	0.0015778573	-0.30001074	0	0	-0.055000003
1.1199999999999992e-06	-0.00017541654	0.0007087578	-0.2718696	0	0	-0.04999998
1.1299999999999991e-06	0.00077183946	0.0001020969	-0.24830236	0	0	-0.045000006
1.139999999999999e-06	0.0006314929	-0.001575487	-0.21999088	0	0	-0.039999984
1.149999999999999e-06	0.0016395822	-0.001812291	-0.18826488	0	0	-0.03499999
1.1599999999999988e-06	0.0031108675	-0.003249531	-0.1532165	0	0	-0.029999975
1.1699999999999988e-06	-0.0028400435	-0.0019664275	-0.132381	0	0	-0.02499999
1.1799999999999987e-06	-0.00077888055	0.0024388845	-0.10671433	0	0	-0.019999992
1.1899999999999986e-06	0.0006544483	-0.0018299477	-0.08074605	0	0	-0.014999988
1.1999999999999985e-06	-0.004188994	0.002079753	-0.060657155	0	0	-0.009999996
1.2099999999999984e-06	-0.0016157037	0.0024572876	-0.02457811	0	0	-0.004999998
1.2199999999999983e-06	-0.0038417892	0.004222489	-0.005633732	0	0	0
1.2299999999999982e-06	0.0016663681	9.709703e-05	0.016092848	0	0	0.004999998
1.239999999999998e-06	-0.00033429405	0.0089557	0.05294106	0	0	0.009999996
1.249999999999998e-06	0.000804226	0.0008716456	0.05672503	0	0	0.014999988
1.2599999999999979e-06	0.001869959	-0.0005455914	0.094753504	0	0	0.019999992
1.2699999999999978e-06	0.0022423512	0.0037136413	0.12379624	0	0	0.02499999
1.2799999999999977e-06	-0.0005456261	-0.004349859	0.15061744	0	0	0.029999975
1.2899999999999976e-06	-0.0002257373	-0.007281137	0.17298934	0	0	0.03499999
1.2999999999999975e-06	0.0005470881	0.0068911347	0.20349447	0	0	0.039999984
1.3099999999999974e-06	0.0036558125	-0.0034871448	0.23566791	0	0	0.045000006
1.3199999999999973e-06	-9.5875665e-05	0.0035965529	0.25478086	0	0	0.04999998
1.3299999999999972e-06	0.00031601984	-0.00044879955	0.27579147	0	0	0.055000003
1.3399999999999971e-06	0.00021895596	0.003975511	0.31350848	0	0	0.05999995
1.349999999999997e-06	-0.0036033664	-0.0025995728	0.33440062	0	0	0.06500005
1.359999999999997e-06	0.0006682212	0.0020386993	0.36548185	0	0	0.06999998
1.3699999999999968e-06	-0.0017155707	-0.0016632975	0.40421548	0	0	0.075000025
1.3799999999999967e-06	-0.0039133555	0.0018670838	0.4555839	0	0	0.07999997
1.3899999999999966e-06	-0.00047822855	-0.002695355	0.4956966	0	0	0.08500003
1.3999999999999965e-06	-0.0008441963	0.00201173	0.55408484	0	0	0.09000001
1.4099999999999965e-06	-0.0043605547	-0.0014580975	0.609011	0	0	0.09499997
1.4199999999999964e-06	0.0016728985	0.0003888237	0.65828055	0	0	0.09999996
1.4299999999999963e-06	0.0018154334	0.0010894764	0.69936687	0	0	0.10500001
1.4399999999999962e-06	0.00046882624	0.00076899223	0.7402457	0	0	0.11000001
1.449999999999996e-06	0.00044034535	0.0029198248	0.7771091	0	0	0.11499991
1.459999999999996e-06	0.0042960923	0.0032029205	0.7881513	0	0	0.1199999
1.4699999999999959e-06	-0.00057616644	0.0025948784	0.7919621	0	0	0.125
1.4799999999999958e-06	0.00012242609	0.00053055125	0.79633456	0	0	0.1300001
1.4899999999999957e-06	0.0038419242	-0.0013444709	0.8064689	0	0	0.1350001
1.4999999999999956e-06	0.0021004404	0.0004283236	0.8062781	0	0	0.13999996
1.5099999999999955e-06	-0.0010521186	-0.0013872513	0.8067875	0	0	0.145
1.5199999999999954e-06	0.00021242679	0.0060081244	0.80685407	0	0	0.15000005
1.5299999999999953e-06	-0.0023724788	0.0021325783	0.808606	0	0	0.15500008
1.5399999999999952e-06	-0.0025131728	-0.0018940632	0.8092087	0	0	0.15999994
1.5499999999999951e-06	-0.0024174254	-0.00035128582	0.81094635	0	0	0.16499998
1.559999999999995e-06	-0.0021822813	0.0034869032	0.8113416	0	0	0.17000006
1.569999999999995e-06	-0.002077716	8.808928e-05	0.8120394	0	0	0.17500007
1.5799999999999948e-06	-0.0031488019	0.0042199977	0.81231576	0	0	0.18000002
1.5899999999999947e-06	-0.0018412637	0.0016657232	0.8124451	0	0	0.18500006
1.5999999999999946e-06	0.0043522487	0.00036475662	0.8127719	0	0	0.18999994
1.6099999999999945e-06	0.0027270713	-0.0024746892	0.81335837	0	0	0.19499996
1.6199999999999944e-06	0.0015805403	-0.0030793077	0.8156899	0	0	0.19999991
