# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
6.900000000000005e-07	0.014872904	-0.006199834	-0.8067342	0	0	-0.14
7.000000000000005e-07	-0.0098077515	0.009400007	-0.8096898	0	0	-0.145
7.100000000000005e-07	0.019098714	-0.0013954334	-0.80826724	0	0	-0.14999999
7.200000000000005e-07	0.0005594245	0.0010701113	-0.8113174	0	0	-0.15499999
7.300000000000005e-07	-0.01044808	-0.00892963	-0.81224006	0	0	-0.15999998
7.400000000000005e-07	-0.0034344974	0.023723526	-0.8159432	0	0	-0.165
7.500000000000005e-07	-0.0020854732	-0.0056988066	-0.8120663	0	0	-0.16999999
7.600000000000006e-07	0.003909955	0.014390832	-0.8094592	0	0	-0.17499998
7.700000000000006e-07	-0.0062000207	-0.011307792	-0.81131095	0	0	-0.18
7.800000000000006e-07	0.00535538	0.0134218875	-0.81765926	0	0	-0.185
7.900000000000006e-07	0.006424093	-0.010845501	-0.812101	0	0	-0.19
8.000000000000006e-07	-0.01700202	-0.011117882	-0.81558985	0	0	-0.195
8.100000000000006e-07	-0.005394856	-0.016429737	-0.81664616	0	0	-0.20000002
8.200000000000006e-07	0.0041328836	-0.016742885	-0.8179069	0	0	-0.20000002
8.300000000000006e-07	-0.0011474653	-0.011753837	-0.8152783	0	0	-0.195
8.400000000000006e-07	0.011209457	0.0073359804	-0.8109053	0	0	-0.19
8.500000000000006e-07	-0.0026278603	0.0029354694	-0.8135878	0	0	-0.185
8.600000000000007e-07	0.0076937447	0.004042778	-0.8152722	0	0	-0.18
8.700000000000007e-07	-0.0024020616	0.003352874	-0.81615275	0	0	-0.17499998
8.800000000000007e-07	0.009532429	-0.0035070144	-0.81218743	0	0	-0.16999999
8.900000000000007e-07	0.0010712096	-0.00041783974	-0.8119459	0	0	-0.165
9.000000000000007e-07	0.0016382695	-0.0026480262	-0.80836165	0	0	-0.15999998
9.100000000000007e-07	0.0006428298	0.009046389	-0.8076768	0	0	-0.15499999
9.200000000000007e-07	-0.009312202	-0.0004070726	-0.80607307	0	0	-0.14999999
9.300000000000007e-07	-0.008947057	0.012749281	-0.8024381	0	0	-0.145
9.400000000000007e-07	-0.026349897	0.008457451	-0.80994564	0	0	-0.14
9.500000000000008e-07	0.012697482	0.008962145	-0.80417407	0	0	-0.135
9.600000000000008e-07	-0.0073762247	-0.009257337	-0.80222017	0	0	-0.13
9.700000000000007e-07	-0.012898645	-0.02434575	-0.806846	0	0	-0.125
9.800000000000006e-07	0.0024623803	0.017097287	-0.8041527	0	0	-0.12
9.900000000000005e-07	0.00364412	-0.00289004	-0.803056	0	0	-0.115
1.0000000000000004e-06	0.0004151482	-0.006036142	-0.8048252	0	0	-0.11000001
1.0100000000000003e-06	-0.009631191	0.007437906	-0.80062413	0	0	-0.105000004
1.0200000000000002e-06	-0.009645917	-0.00034453813	-0.7927134	0	0	-0.10000001
1.03e-06	-0.0003054781	-0.00278426	-0.80343044	0	0	-0.095
1.04e-06	0.00806905	0.006328444	-0.7953485	0	0	-0.09
1.05e-06	-0.0009057019	-0.012653036	-0.7961674	0	0	-0.08499999
1.0599999999999998e-06	-0.0068024443	-0.0023265602	-0.7923082	0	0	-0.07999999
1.0699999999999997e-06	0.0072058113	0.0031814792	-0.79180145	0	0	-0.074999996
1.0799999999999996e-06	0.012694572	0.010528963	-0.7750843	0	0	-0.07
1.0899999999999995e-06	-0.015332185	0.00026300526	-0.7713381	0	0	-0.065
1.0999999999999994e-06	-0.007887381	0.012669934	-0.7604896	0	0	-0.06
1.1099999999999993e-06	-0.0018008081	0.0052615474	-0.6998645	0	0	-0.055000003
1.1199999999999992e-06	0.012145745	-0.0056034867	-0.67383754	0	0	-0.050000004
1.1299999999999991e-06	-0.0124154445	-0.012100401	-0.5870539	0	0	-0.045
1.139999999999999e-06	-0.009511445	-0.0011603206	-0.5821934	0	0	-0.039999995
1.149999999999999e-06	-0.016920663	-0.02836087	-0.44449285	0	0	-0.035
1.1599999999999988e-06	0.02173648	0.010299579	-0.43184626	0	0	-0.03
1.1699999999999988e-06	-0.00025400007	-0.014460419	-0.3029415	0	0	-0.025000002
1.1799999999999987e-06	-0.010582939	-0.00458463	-0.2515588	0	0	-0.019999998
1.1899999999999986e-06	-0.00798518	0.010212114	-0.19837245	0	0	-0.015
1.1999999999999985e-06	-0.004302962	-0.006672845	-0.14529696	0	0	-0.009999999
1.2099999999999984e-06	-0.007614061	-0.017160177	-0.08041707	0	0	-0.0049999994
1.2199999999999983e-06	0.0014783873	-0.012037619	-0.001129752	0	0	0
1.2299999999999982e-06	0.0068700304	-0.009090462	0.05180638	0	0	0.0049999994
1.239999999999998e-06	-0.0049099503	-0.012441099	0.14721116	0	0	0.009999999
1.249999999999998e-06	-0.0011226794	-0.015553897	0.15663399	0	0	0.015
1.2599999999999979e-06	0.020072112	0.0032774732	0.28297547	0	0	0.019999998
1.2699999999999978e-06	-0.0016669311	-0.0155700715	0.3279419	0	0	0.025000002
1.2799999999999977e-06	0.008142289	0.013382455	0.39098948	0	0	0.03
1.2899999999999976e-06	0.010871676	0.0015277066	0.5054738	0	0	0.035
1.2999999999999975e-06	-0.010172333	-0.011420911	0.5216158	0	0	0.039999995
1.3099999999999974e-06	0.005413321	-0.012554674	0.5773966	0	0	0.045
1.3199999999999973e-06	0.021132918	-0.018386435	0.68813115	0	0	0.050000004
1.3299999999999972e-06	-0.010857819	0.0021784431	0.717325	0	0	0.055000003
1.3399999999999971e-06	-0.022303158	-0.01654489	0.7584437	0	0	0.06
1.349999999999997e-06	-0.025624815	0.018490613	0.7747413	0	0	0.065
1.359999999999997e-06	0.010741439	-0.0053049913	0.7738017	0	0	0.07
1.3699999999999968e-06	-0.0052203694	0.015587217	0.78982866	0	0	0.074999996
1.3799999999999967e-06	0.0041934047	0.021119725	0.7961107	0	0	0.07999999
1.3899999999999966e-06	0.0031555833	-0.00072645245	0.79755956	0	0	0.08499999
1.3999999999999965e-06	-0.013929693	0.014482112	0.8000027	0	0	0.09
1.4099999999999965e-06	-0.013998151	0.013722277	0.80031484	0	0	0.095
1.4199999999999964e-06	-0.0037107163	0.0013195294	0.79980636	0	0	0.10000001
1.4299999999999963e-06	-0.01336826	-0.011398758	0.79839295	0	0	0.105000004
1.4399999999999962e-06	-0.020240009	0.0057150954	0.8028013	0	0	0.11000001
1.449999999999996e-06	0.00091741583	-0.0112612285	0.79832083	0	0	0.115
1.459999999999996e-06	-0.0073179267	-0.011900516	0.8033184	0	0	0.12
1.4699999999999959e-06	-0.005832919	-0.0090625435	0.8054692	0	0	0.125
1.4799999999999958e-06	-0.0019748863	-5.299406e-05	0.8013412	0	0	0.13
1.4899999999999957e-06	-0.007714105	-0.010900886	0.8052206	0	0	0.135
1.4999999999999956e-06	-0.006499482	-0.0148821585	0.80147135	0	0	0.14
1.5099999999999955e-06	0.008998793	-0.018846579	0.803118	0	0	0.145
1.5199999999999954e-06	0.016265506	0.012668718	0.8105928	0	0	0.14999999
1.5299999999999953e-06	-0.01784264	-0.0036723893	0.80939996	0	0	0.15499999
1.5399999999999952e-06	-0.0040853005	0.009553649	0.80946094	0	0	0.15999998
1.5499999999999951e-06	0.008698635	-0.002310589	0.80936056	0	0	0.165
1.559999999999995e-06	-0.026755266	0.025588088	0.81355256	0	0	0.16999999
1.569999999999995e-06	-0.000382093	0.008876536	0.8164618	0	0	0.17499998
1.5799999999999948e-06	-0.018389205	0.009501417	0.80500233	0	0	0.18
1.5899999999999947e-06	0.012086842	-0.0054588574	0.80946535	0	0	0.185
1.5999999999999946e-06	0.0029691432	-0.012043109	0.814451	0	0	0.19
1.6099999999999945e-06	-0.00038700982	-0.008164633	0.81058335	0	0	0.195
1.6199999999999944e-06	0.0021903096	-0.010112954	0.8126466	0	0	0.20000002
