# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
6.700000000000005e-07	0.000347643	0.0021193514	0.86921704	0	0	-0.1300001
6.800000000000005e-07	0.0016198943	0.002019346	0.8705288	0	0	-0.1350001
6.900000000000005e-07	0.0011825971	0.0006168164	0.86848325	0	0	-0.13999996
7.000000000000005e-07	-0.002848737	-8.6460066e-05	0.86945087	0	0	-0.145
7.100000000000005e-07	-0.0029132937	-0.0014972213	0.8684276	0	0	-0.15000005
7.200000000000005e-07	0.0015306672	-0.0016193656	0.86829567	0	0	-0.15500008
7.300000000000005e-07	0.0024337277	-0.0012469449	0.86846954	0	0	-0.15999994
7.400000000000005e-07	0.0025362691	-0.0009508352	0.86864156	0	0	-0.16499998
7.500000000000005e-07	-0.0008087611	-0.001176104	0.86796635	0	0	-0.17000006
7.600000000000006e-07	-0.0062610093	0.003544033	0.8673344	0	0	-0.17500007
7.700000000000006e-07	0.003475096	0.00036559333	0.8672537	0	0	-0.18000002
7.800000000000006e-07	-0.0015062437	0.0010644753	0.86641777	0	0	-0.18500006
7.900000000000006e-07	-0.0015020715	0.0031157087	0.86621153	0	0	-0.18999994
8.000000000000006e-07	-0.0039642975	0.0018424472	0.86621964	0	0	-0.19499996
8.100000000000006e-07	-0.0028064286	0.000104752595	0.8644233	0	0	-0.19999991
8.200000000000006e-07	-0.0029112208	6.792388e-05	0.8654724	0	0	-0.19999991
8.300000000000006e-07	-0.0017523785	0.00333046	0.8668187	0	0	-0.19499996
8.400000000000006e-07	0.002214242	0.0018414942	0.8661304	0	0	-0.18999994
8.500000000000006e-07	-0.0002864327	-0.0020475576	0.8663487	0	0	-0.18500006
8.600000000000007e-07	-0.0018713012	0.0007344908	0.86677974	0	0	-0.18000002
8.700000000000007e-07	0.004968741	0.0023919716	0.86725897	0	0	-0.17500007
8.800000000000007e-07	-0.0026887315	-0.0027987666	0.86692226	0	0	-0.17000006
8.900000000000007e-07	-0.00016979195	0.0017556738	0.8681437	0	0	-0.16499998
9.000000000000007e-07	0.0016623907	-0.00069064513	0.8685885	0	0	-0.15999994
9.100000000000007e-07	-0.003576171	0.0009455307	0.86777896	0	0	-0.15500008
9.200000000000007e-07	0.0006929989	-0.0018967204	0.86809474	0	0	-0.15000005
9.300000000000007e-07	-0.0011522634	-0.00076605094	0.8687153	0	0	-0.145
9.400000000000007e-07	-0.0010715483	0.0010997755	0.86919457	0	0	-0.13999996
9.500000000000008e-07	0.001351959	-0.0006679575	0.86935955	0	0	-0.1350001
9.600000000000008e-07	0.0005306747	-0.00071610924	0.8701371	0	0	-0.1300001
9.700000000000007e-07	0.00038379588	-0.00027533932	0.87035894	0	0	-0.125
9.800000000000006e-07	-0.0023707815	0.002794555	0.8706092	0	0	-0.1199999
9.900000000000005e-07	0.0030588056	0.00019934647	0.8704753	0	0	-0.11499991
1.0000000000000004e-06	0.0023689584	-0.0015697916	0.8711589	0	0	-0.11000001
